subject,idna_subject,expiration_date,epoch
0358lvl.com,0358lvl.com,31-oct-2022,1667174400.0
080cbfe.cn,080cbfe.cn,18-mar-2022,1647561600.0
08160.cn,08160.cn,26-jan-2022,1643155200.0
0of87ssl-w-th.com,0of87ssl-w-th.com,21-sep-2022,1663718400.0
0y7c.cn,0y7c.cn,07-jan-2022,1641513600.0
1001pizzas.fr,1001pizzas.fr,17-oct-2021,1634428800.0
01-sex-amateur.info,01-sex-amateur.info,26-sep-2022,1664150400.0
05qwmtwxa3ev.com,05qwmtwxa3ev.com,30-sep-2022,1664496000.0
0idy0l0.cn,0idy0l0.cn,09-nov-2021,1636416000.0
05crc8i.cn,05crc8i.cn,09-nov-2021,1636416000.0
10palmflorida.com,10palmflorida.com,29-apr-2022,1651190400.0
1234567sg.xyz,1234567sg.xyz,12-sep-2022,1662940800.0
123ko.cn,123ko.cn,07-nov-2021,1636243200.0
1772c9ffd2.com,1772c9ffd2.com,27-sep-2022,1664236800.0
17pdl-81joe-h.com,17pdl-81joe-h.com,21-sep-2022,1663718400.0
18881999.com.cn,18881999.com.cn,10-nov-2021,1636502400.0
19covids.com,19covids.com,29-mar-2022,1648512000.0
101coronavirus.com,101coronavirus.com,16-mar-2022,1647388800.0
15llll.bar,15llll.bar,15-sep-2022,1663200000.0
19covideo.com,19covideo.com,19-apr-2022,1650326400.0
000000.io,000000.io,10-oct-2022,1665360000.0
0s8f.cn,0s8f.cn,08-jan-2022,1641600000.0
0g8lh.cn,0g8lh.cn,08-nov-2021,1636329600.0
1111sale.us,1111sale.us,02-nov-2022,1667347200.0
11bet.us,11bet.us,22-dec-2021,1640131200.0
123coronaquiz.com,123coronaquiz.com,26-nov-2021,1637884800.0
178ok.in,178ok.in,05-may-2022,1651708800.0
188thethao.com,188thethao.com,28-feb-2022,1646006400.0
1-creative-1.com,1-creative-1.com,07-nov-2022,1667779200.0
1d4x.cn,1d4x.cn,07-jan-2022,1641513600.0
1e546a4cc5.com,1e546a4cc5.com,29-sep-2022,1664409600.0
1e7q.cn,1e7q.cn,07-jan-2022,1641513600.0
1e8v.cn,1e8v.cn,07-jan-2022,1641513600.0
1g7kvrv.xyz,1g7kvrv.xyz,27-jun-2022,1656288000.0
1j7v.cn,1j7v.cn,07-jan-2022,1641513600.0
1jizt.xyz,1jizt.xyz,01-mar-2022,1646092800.0
1o7r.cn,1o7r.cn,07-jan-2022,1641513600.0
1ownandfresh1.com,1ownandfresh1.com,15-dec-2021,1639526400.0
1pw3r.cn,1pw3r.cn,08-nov-2021,1636329600.0
1traf.com,1traf.com,30-sep-2022,1664496000.0
1vg8g42.cn,1vg8g42.cn,09-nov-2021,1636416000.0
1wat.ru,1wat.ru,13-apr-2022,1649808000.0
1xslots.site,1xslots.site,27-sep-2022,1664236800.0
200-rockergod.com,200-rockergod.com,18-feb-2022,1645142400.0
